Date,Title,Company,State,City,Level,Work Mode,Average Salary,Pay Type,Employment Type,Description
2024-06-23,Senior Consultant Financial Modeler Data Scientist,Fi Consulting,District of Columbia,Arlington,Senior,,,,Full-time,"FI Consulting helps organizations better manage complex portfolios by applying Data, Modeling, Analytics, and Technology to solve hard business problems. Our…"
2024-06-23,F-35 Combat Data Systems Project Management Analyst 4,Hii,District of Columbia,Arlington,Mid-level,,,,Full-time,"Date: Jun 13, 2024 Location: Arlington, VA, Virginia, United States Company: HII's Mission Technologies division Requisition Number: 19058 Required Travel…"
2024-06-23,Data Scientist Consultant (us Security Clearance Required),Deloitte,District of Columbia,Rosslyn,Mid-level,,,,Full-time,"In this age of disruption, organizations need to navigate the future with confidence by tapping into the power of data analytics, robotics, and cognitive…"
2024-06-23,Senior Data Scientist,Capital One,District of Columbia,McLean,Senior,,,,Full-time,"Locations: VA - McLean, United States of America, McLean, Virginia Senior Data Scientist Data is at the center of everything we do. As a startup, we…"
2024-06-23,Data Analyst Ii,The Henry M. Jackson Foundation For The...,District of Columbia,Bethesda,Mid-level,,,,nan,Overview: Join the HJF Team! The Henry M. Jackson Foundation for the Advancement of Military Medicine (HJF) is a nonprofit organization dedicated to…
2024-06-23,Data Scientist Manager,Deloitte,District of Columbia,Rosslyn,Manager,,,,Full-time,Do you want to build your brand by working for a leading consulting firm that drives eminence in the marketplace? Are you interested in leveraging your…
2024-06-23,"Deep Learning Architect, Proserve Genai","Amazon Web Services, Inc.",District of Columbia,Arlington,Mid-level,,118200.0,year,,"- Bachelor of Science degree in Computer Science, or related technical, math, or scientific field (or equivalent experience) - Experience coding in Python, R,…"
2024-06-23,Senior Research Scientist - Rf / Machine Learning (rfml),Peraton,District of Columbia,College Park,Senior,,190000.0,year,,About Peraton Peraton is a next-generation national security company that drives missions of consequence spanning the globe and extending to the farthest…
2024-06-23,Senior Data Scientist Specialist,Deloitte,District of Columbia,Rosslyn,Senior,,,,Full-time,"The SFL Scientific, a Deloitte Business practice, brings together several key capabilities to architect integrated programs that transform our clients'…"
2024-06-23,Data Engineer (ip-based Operational Communications) - Mid,Qinetiq Us,District of Columbia,Reston,Mid-level,,,,Full-time,"Company Overview We are a world-class team of professionals who deliver next generation technology and products in robotic and autonomous platforms, ground,…"
2024-06-23,Sr. Data Analyst,Carfax,District of Columbia,Centreville,Mid-level,,,,Full-time,"3-7 years of direct experience performing advanced data analytics or a Master’s Degree in Statistics, Data Analytics, or a related field."
2024-06-23,"Principal Associate - Data Scientist, Credit Infrastructure Imperative, Team Matrix",Capital One,District of Columbia,McLean,Associate,,,,Full-time,"Currently has, or is in the process of obtaining a Bachelor’s Degree plus 5 years of experience in data analytics, or currently has, or is in the process of…"
2024-06-23,Data Engineer,Qinetiq Us,District of Columbia,McLean,Mid-level,,,,Full-time,We are recruiting for a Data Engineer for an exciting mission that will be hands-on and working with the full data lifecycle - from exploratory data analysis to…
2024-06-23,Technical Advisor I (senior Statistician),Fhi 360,District of Columbia,Washington,Senior,,125000.0,year,,"At least eight (8) years’ experience working in M&E in health sector data systems applied research, quantitative and qualitative analysis, team collaboration,…"
2024-06-23,Artificial Intelligence Technical Advisor,Booz Allen,District of Columbia,Washington,Mid-level,,158300.0,year,,"You'll apply scientific and engineering subject matter expertise to help conceptualize, create, and execute advanced government-funded research and development…"
2024-06-23,"(usa) Senior Manager, Data Science",Walmart,District of Columbia,Reston,Senior,,165000.0,year,,"Benefits are subject to change and may be subject to a specific plan or program terms.
Experience in managing a mid-size internal team of data scientists and…"
2024-06-23,"Sr. Deep Learning Architect, Proserve Genai","Amazon Web Services, Inc.",District of Columbia,Arlington,Mid-level,,138200.0,year,,"This is a team of strategists, data scientists, engineers, and solution architects working step-by-step with customers to build bespoke solutions that harness…"
2024-06-23,"Vice President, Data Science, Marketplace",Xometry Inc,District of Columbia,North Bethesda,Mid-level,,,,nan,"Serve as a strategic leader as part of our data science & machine learning team, with responsibility for Xometry’s data science and machine learning teams."
2024-06-23,Senior Data Modeling & Lead Data Scientist - Clearance Required,Logistics Management Institute,District of Columbia,Washington,Senior,,,,Full-time,Direct a dynamic team of data scientists to swiftly develop and implement ML meta models that encapsulate numerous simulated scenarios across a vast inventory…
2024-06-23,Senior Machine Learning Engineer - Homes.com,Costar Group,District of Columbia,Washington,Senior,,,,Full-time,"Automate data processing and manage data pipelines to ensure efficient data handling.
Design, build, test, and deploy scalable machine learning and statistical…"
2024-06-23,"Principal Applied Scientist, Generative Ai Innovation Center","Amazon Web Services, Inc.",District of Columbia,Arlington,Mid-level,,179000.0,year,,We’re looking for talented scientists capable of applying ML algorithms and cutting-edge deep learning (DL) and reinforcement learning approaches to areas such…
2024-06-23,Ai Policy Engineer,Saic,District of Columbia,Bethesda,Mid-level,,,,Full-time,"This position will be a subject matter expert, creating and translating trend analyses, and facilitate stakeholder decision-making, policy, and governance…"
2024-06-23,Data Architect,Qinetiq Us,District of Columbia,Chantilly,Mid-level,,,,nan,Ensuring the data layer solution is continuously optimized and able to fully satisfy analytic mission requirements as rapidly and efficiently as possible.
2024-06-23,Data Engineer,Qinetiq,District of Columbia,McLean,Mid-level,,,,Full-time,We are recruiting for a Data Engineer for an exciting mission that will be hands-on and working with the full data lifecycle - from exploratory data analysis to…
2024-06-23,Machine Learning Engineer,Booz Allen,District of Columbia,Arlington,Mid-level,,158300.0,year,,"2+ years of experience as an ML Engineer or advanced data scientist.
As an experienced engineer, you know that machine learning is critical to understanding and…"
2024-06-23,Senior Data Science Consultant - Clearance Required,Logistics Management Institute,District of Columbia,Washington,Senior,,,,Full-time,"Work closely with data engineers, UI developers, and subject matter experts to develop and deploy data science methods in support of an evolving software suite."
2024-06-23,Mission Data Analyst- Ts/sci Ci Poly,Ibm,District of Columbia,Reston,Mid-level,,120000.0,year,,"2+ years of experience in data analytics, to include experience in the following: Data acquisition, processing, storage, and retrieval; Data analysis and…"
2024-06-23,Data Scientist (sr.) - U.s. Citizenship Required,"Cgi Group, Inc.",District of Columbia,Fairfax,Mid-level,,,,Full-time,"Automate data analysis to improve and enhance data.
Use advanced analytics and data science techniques to efficiently translate complex mathematical, business…"
2024-06-23,Data Insights Lead,General Dynamics Information Technology,District of Columbia,Springfield,Lead,,124281.5,year,,Interface with data stewards across the program to ensure data submitted has been reviewed and reported accurately by each data source.
2024-06-23,"Lead Customer Engineer, Generative Ai, Public Sector",Google,District of Columbia,Reston,Lead,,,,Full-time,"Additionally, the lead will regularly engage with field teams to identify emerging market trends and develop innovative solutions, while collaborating closely…"
2024-06-23,Data Science Manager - Travel & Hospitality,Accenture,District of Columbia,Arlington,Manager,,,,Full-time,"Minimum of 8 years’ expertise with advanced statistical modeling, AI, machine learning, optimization modeling, data mining, unstructured data analytics in…"
2024-06-23,"Data Architect, Lead",Booz Allen,District of Columbia,Arlington,Lead,,158300.0,year,,"5+ years of experience developing plans and leading major consulting assignments including data analytics, machine learning, and artificial intelligence."
2024-06-23,Data Architect (snowflake/aws),Deloitte,District of Columbia,Rosslyn,Mid-level,,,,Full-time,"Our team supports all phases of analytic work product development, from the identification of key business questions through data collection and ETL, and from…"
2024-06-23,Data Engineer / Owner,Ibm,District of Columbia,Washington,Mid-level,,177300.0,year,,"The Data Owner will be responsible for leading the Refugee Processing Center's data management strategy, encompassing all areas of data warehousing, data…"
2024-06-23,Lead Data Scientist,The Mitre Corporation,District of Columbia,McLean,Lead,,,,Full-time,"Experience in one of the following: data engineering, statistical modeling, predictive analytics, artificial intelligence or machine learning."
2024-06-23,Data Scientist Ii,Mantech,District of Columbia,Washington,Mid-level,,,,Full-time,"For all positions requiring access to technology/software source code that is subject to export control laws, employment with the company is contingent on…"
2024-06-23,"Principal Data Scientist, Experimentation & Personalization",Capital One,District of Columbia,McLean,Mid-level,,,,Full-time,"Currently has, or is in the process of obtaining a Bachelor’s Degree plus 5 years of experience in data analytics, or currently has, or is in the process of…"
2024-06-23,"Data Scientist, United States - Bcg X",Boston Consulting Group,District of Columbia,Washington,Mid-level,,,,Full-time,Significant experience applying advanced analytics to a variety of business situations and a proven ability to synthesize complex data.
2024-06-23,Data Engineer,Qinetiq,District of Columbia,Reston,Mid-level,,,,Full-time,"Build data models and analytics to support mission needs.
Implement and document RESTful API structures that communicate across data management components to…"
2024-06-23,Ai Strategy And Adoption Specialist,Booz Allen,District of Columbia,Washington,Mid-level,,158300.0,year,,"Experience delivering enterprise-scale solutions, including data management, governance, or analytics within government or regulated environments."
2024-06-23,Senior Data Analyst,Integral,District of Columbia,Washington,Senior,,,,Full-time,"Conduct analysis to identify trends and relationships within the data.
Use specialized statistical software to analyze data, however raw data sets will need to…"
2024-06-23,"Ai & Data, Sr. Consultant (insurance)",Deloitte,District of Columbia,McLean,Mid-level,,,,Full-time,"Managing changes to project scope, project schedule, and project costs to keep the project plan accurate, updated, as defined in the change management plan."
2024-06-23,Business Development Manager - Nlp,Babel Street,District of Columbia,Reston,Manager,,157500.0,year,,"We deliver advanced AI and data analytics solutions providing unmatched, analysis-ready data regardless of language, proactive risk identification, 360-degree…"
2024-06-23,Supply Chain User Experience Data Scientist,Booz Allen,District of Columbia,Washington,Mid-level,,180050.0,year,,"8+ years of experience with data exploration, data cleaning, data analysis, data visualization, or data mining.
Experience with machine learning, AI, or NLP."
2024-06-23,Software Engineer,Parsons,District of Columbia,Herndon,Mid-level,,143300.0,year,,"Bachelor’s or master’s degree in a relevant field such as computer science electrical engineering, computer engineering, software engineering, applied…"
2024-06-23,"Senior Product Manager, Machine Learning",Xometry,District of Columbia,North Bethesda,Senior,,,,nan,"The successful candidate will be able to work with technical subject matter experts, understand quantitative analyses, and have deep product experience with…"
2024-06-23,Senior Data Scientist - Ai Sfl Scientific,Deloitte,District of Columbia,Rosslyn,Senior,,,,Full-time,"Work cross-functionally with other scientists & data engineers, federal account manager and leadership to help ensure project delivery and success."
2024-06-23,Senior Data Scientist - Ai Foundations Nlp,Capital One,District of Columbia,McLean,Senior,,,,Full-time,"Partner with a cross-functional team of data scientists, software engineers, machine learning engineers and product managers to deliver AI powered products that…"
2024-06-23,"Machine Learning Engineer, Proserve Genai","Amazon Web Services, Inc.",District of Columbia,Arlington,Mid-level,,129300.0,year,,"2+ years of relevant experience in developing and deploying large scale machine learning or deep learning models and/or systems into production, including batch…"
2024-06-23,"Data Science Developer (python/javascript) With Ts/sci Polygraph - Chantilly, Va",Deloitte,District of Columbia,McLean,Mid-level,,,,Full-time,Candidate will join a team of high-performing data scientists and data engineers to deliver cutting-edge analytics for high-visibility national security…
2024-06-23,"Product Director, Clinical Data Delivery - Evinova",Astrazeneca,District of Columbia,Gaithersburg,Mid-level,,,,Full-time,"Evinova draws on AstraZeneca’s deep experience developing novel therapeutics, informed by insights from thousands of patients and clinical researchers."
2024-06-23,Data Lake Services Developer,Qinetiq Us,District of Columbia,Chantilly,Mid-level,,,,nan,"Strong ability to manage competing priorities and communication to multiple stakeholders.
Developing custom solutions/code to ingest and exploit new and…"
2024-06-23,"Senior Security Data Scientist, Global Services Security","Amazon Web Services, Inc.",District of Columbia,Herndon,Senior,,127300.0,year,,"5+ years of relevant experience in developing and evaluating deep learning models and/or systems, including batch and real-time data processing."
2024-06-23,"Machine Learning Engineer, Amazon Advertising - Sponsored Products",Amazon.com Services Llc,District of Columbia,Arlington,Mid-level,,129300.0,year,,We are a team of machine learning scientists and software engineers working on complex solutions to understand the customer intent and present them with ads…
2024-06-23,Sr. Contract Data Analyst,"Amyx, Inc.",District of Columbia,Falls Church,Mid-level,,,,Full-time,"Good organizational skills in tracking data and actions.
Knowledge of the methods and techniques of fact-finding, analysis, and resolution of complex problems,…"
2024-06-23,"Ml And Ai Engineer, Lead",Booz Allen,District of Columbia,Bethesda,Lead,,205300.0,year,,"You’ll collaborate with a large community of data scientists, solution architects, software engineers, and product owners to deliver world-class solutions."
2024-06-23,Aws Gen Ai Engineer,Proit Inc.,District of Columbia,Fairfax,Mid-level,,105000.0,year,,"Strong understanding of machine learning and deep learning principles and algorithms.
Experience in applying Gen AI techniques using JIRA, Confluence, Jenkins,…"
2024-06-23,Machine Learning Research Scientist (fully Cleared),Peraton,District of Columbia,College Park,Mid-level,,190000.0,year,,We are actively seeking an entry to mid-level software engineer with machine learning experience to join our team of software research scientists working on…
2024-06-23,Senior Machine Learning/data Science Research Engineer,Peraton,District of Columbia,Silver Spring,Senior,,190000.0,year,,"Leverage deep learning frameworks (e.g., PyTorch, Tensorflow) to develop deep learning solutions, tailoring them to the application area."
2024-06-23,"Sr. Applied Scientist, Generative Ai Innovation Center","Amazon Web Services, Inc.",District of Columbia,Arlington,Mid-level,,136000.0,year,,We’re looking for talented scientists capable of applying ML algorithms and cutting-edge deep learning (DL) and reinforcement learning approaches to areas such…
2024-06-23,Machine Learning Engineer Sai2091,Sabree Software Services,District of Columbia,Chantilly,Mid-level,,,,Full-time,"The Contractor Team shall create data science and data engineering products that include data models, data ingestion/transform, analytics which may include…"
2024-06-23,Technical Project / Delivery Manager (data Science),Paradyme Management,District of Columbia,Tysons,Manager,,,,Full-time,"Project team may consist of data scientists, software engineers, and subject matter experts in the definition of new analytics capabilities able to provide our…"
2024-06-23,Senior Quantitative Analyst - Model Risk Audit,Capital One,District of Columbia,McLean,Senior,,,,Full-time,"Apply deep expertise in econometric, statistical and machine learning methods to generate critical insights and decision frameworks for our business and…"
2024-06-23,Data Engineer,Caci,District of Columbia,Arlington,Mid-level,,110050.0,year,,"The Data Engineer will work closely with data scientists, analyst, and other stakeholders to ensure the seamless flow and integrity of data across the…"
2024-06-23,"Supply Chain Data Scientist, Senior",Booz Allen,District of Columbia,Arlington,Senior,,180050.0,year,,"5+ years of experience with data exploration, data cleaning, data analysis, data visualization, or data mining."
2024-06-23,Federal Data Engineering Consultant (ts Required),Deloitte,District of Columbia,Rosslyn,Mid-level,,,,nan,"Our team supports all phases of analytic work product development, from the identification of key business questions through data collection and ETL, and from…"
2024-06-23,Senior Machine Learning Engineer,Deloitte,District of Columbia,Rosslyn,Senior,,,,nan,"Our team supports all phases of analytic work product development, from the identification of key business questions through data collection and ETL, and from…"
2024-06-23,Full Stack Software Engineer Level 3 - Ai/ml,"Intelligenesis, Llc",District of Columbia,Arlington,Mid-level,,,,nan,"Works with data scientists, UX designers, cognitive scientists, developers, and testers to compose cohesive and sound software designs that form the basis of…"
2024-06-23,Senior Data Scientist - Ts/sci With Polygraph Required,Logistics Management Institute,District of Columbia,McLean,Senior,,,,Full-time,"Design and implement scalable AI/ML models for tasks such as information retrieval, natural language processing, predictive analytics, and automation."
2024-06-23,Machine Learning Engineer (ts/sci + Poly),The Darkstar Group,District of Columbia,Chantilly,Mid-level,,,,Flextime,"The Contractor Team shall create data science and data engineering products that include data models, data ingestion/transform, analytics which may include…"
2024-06-23,Statistician / Senior Statistician Cmc Statistics (onsite),Astrazeneca,District of Columbia,Gaithersburg,Senior,,,,Full-time,Our statisticians and data scientists work directly with development scientists and process teams to provide expertise on experimental design and analysis and…
2024-06-23,"Solutions Architect - Data Science, Machine Learning",General Dynamics Information Technology,District of Columbia,Falls Church,Mid-level,,200348.0,year,,"Contribute to GDIT win strategies and lead the development of technical solution themes and maintain solution readiness plans.
15 + years of related experience."
2024-06-23,Nlp Account Executive,Babel Street,District of Columbia,Reston,Mid-level,,145000.0,year,,"We deliver advanced AI and data analytics solutions providing unmatched, analysis-ready data regardless of language, proactive risk identification, 360-degree…"
2024-06-23,Data Science Senior Manager - Financial Services,Accenture,District of Columbia,Arlington,Senior,,,,Full-time,"Minimum of 8 years’ expertise with advanced statistical modeling, AI, machine learning, optimization modeling, data mining, unstructured data analytics in…"
2024-06-23,"Manager, Cyber Risk & Analysis (machine Learning)",Capital One,District of Columbia,McLean,Manager,,,,Full-time,Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding…
2024-06-23,Machine Learning Engineer [oni],Secure Technologies Group,District of Columbia,Washington,Mid-level,,,,nan,"Extensive data modeling and data architecture skills.
Background in machine learning frameworks such as TensorFlow or Keras."
2024-06-23,Senior Data Engineer,Saic,District of Columbia,McLean,Senior,,,,Full-time,"In this role, you will work closely with government customers and IT developers to validate customer requirements; establish the required data environments;…"
2024-06-23,"Ai/ml Engineer, Google Cloud",Google,District of Columbia,Washington,Mid-level,,,,Full-time,"Experience with data analytics, data visualization techniques, and software.
6 years of experience working with machine learning or deep learning systems."
2024-06-23,Ai And Machine Learning Engineer,Booz Allen,District of Columbia,McLean,Mid-level,,158300.0,year,,"Experience with machine learning, including Bayesian machine learning methods.
Knowledge of adversarial machine learning or differential privacy."
2024-06-23,"Senior Lead Machine Learning Engineer, Bank Tech",Capital One,District of Columbia,McLean,Senior,,,,Full-time,Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding…
2024-06-23,"Manager, Data Science - Emerging Ml",Capital One,District of Columbia,McLean,Manager,,,,Full-time,"Currently has, or is in the process of obtaining a Bachelor’s Degree plus 6 years of experience in data analytics, or currently has, or is in the process of…"
2024-06-23,"Manager, Product Management, Machine Learning Tools",Capital One,District of Columbia,McLean,Manager,,,,Full-time,"Deeply understand the needs of data scientists and engineers across Capital One.
They are comfortable in conversation with engineering teams as well as…"
2024-06-23,"Senior Deep Learning Architect, Generative Ai Innovation Center","Amazon Web Services, Inc.",District of Columbia,Arlington,Senior,,138200.0,year,,"This is a team of strategists, data scientists, engineers, and solution architects working step-by-step with customers to build bespoke solutions that harness…"
2024-06-23,"Manager, Data Science - Automation Excellence",Capital One,District of Columbia,McLean,Manager,,,,Full-time,"Currently has, or is in the process of obtaining a Bachelor’s Degree plus 6 years of experience in data analytics, or currently has, or is in the process of…"
2024-06-23,Senior Ai And Decision Engineer,The Mitre Corporation,District of Columbia,McLean,Senior,,,,Full-time,"We are specifically looking for talent in machine learning (including deep learning and reinforcement learning), and one or more of the following technical…"
2024-06-23,Lead Data Science Engineer,L3harris Technologies,District of Columbia,Springfield,Lead,,,,nan,"Experience with database design and implementation, data curation, and preprocessing, general exploratory data analysis (EDA), hardware and software deployment,…"
2024-06-23,Data Mapping Engineer (ts/sci),Ibm,District of Columbia,Chantilly,Mid-level,,155500.0,year,,"Collaborate with developers, testers, and subject matter experts to ensure that data mapping and transformation requirements are properly implemented and tested…"
2024-06-23,"Senior Data Engineer (python, Spark, Aws)",Capital One,District of Columbia,McLean,Senior,,,,Full-time,Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding…
2024-06-23,Data Science/nlp/computational Researcher,National Library Of Medicine,District of Columbia,Bethesda,Mid-level,,,,nan,"The group combines expertise in data management, visualization, information retrieval, and network data, and we will work in areas of data integration, data…"
2024-06-23,Senior Machine Learning Engineer,Brivo,District of Columbia,Bethesda,Senior,,,,Full-time,"Experience developing ML feature pipelines based on data from production data stores.
To thrive in this position, you must possess strong skills in statistics…"
2024-06-23,Senior Full Stack Ai Software Engineer,Hellogov,District of Columbia,Falls Church,Senior,,,,nan,"Team collaboration: Effective in working with cross-functional teams including data scientists, UX designers, cognitive scientists, developers, and testers."
2024-06-23,"Senior Associate Data Scientist, Audit Data Science",Capital One,District of Columbia,McLean,Associate,,,,Full-time,"Partner with a cross-functional team of data scientists, data analysts, risk professionals, software engineers, and product managers to manage the risk and…"
2024-06-23,Government And Public Sector - Ai And Data - Machine Learning Engineer - Senior Consultant,Ey,District of Columbia,McLean,Senior,,,,nan,"Building and applying data analysis algorithms (data mining, statistics, machine learning, natural language processing, sentiment analysis, text mining, etc.)…"
2024-06-23,Machine Learning Engineer,J5 Consulting,District of Columbia,Chantilly,Mid-level,,,,Full-time,"Create data science and data engineering products that include data models, data ingestion/transform, analytics which may include machine learning, and some…"
2024-06-23,Data Engineer (ip-based Operational Communications) - Mid,Qinetiq,District of Columbia,Reston,Mid-level,,,,Full-time,"Much of our work contributes to innovative research in the fields of sensor science, signal processing, data fusion, artificial intelligence (AI), machine…"
2024-06-23,Data Engineer (ip-based Operational Communications) - Mid,Qinetiq Us,District of Columbia,Reston,Mid-level,,,,nan,"Much of our work contributes to innovative research in the fields of sensor science, signal processing, data fusion, artificial intelligence (AI), machine…"
2024-06-23,Principal Machine Learning Scientist/engineer - Ai Services,Geico,District of Columbia,Chevy Chase,Mid-level,,,,Full-time,"Define project roadmaps, establish feature backlogs, and delegate to a small team of junior and mid-level ML scientists for implementation."
2024-06-23,"Senior Manager, Data Science - Llm",Capital One,District of Columbia,McLean,Senior,,,,Full-time,"Partner with a cross-functional team of data scientists, software engineers, machine learning engineers and product managers to deliver AI powered products ."
2024-06-23,Ai Engineer,Saic,District of Columbia,Bethesda,Mid-level,,,,Full-time,"This position will be a subject matter expert, creating and translating trend analyses, and facilitate stakeholder decision-making, policy, and governance…"
2024-06-23,Senior Geospatial Data Scientist,The Mitre Corporation,District of Columbia,McLean,Senior,,,,Full-time,"MITRE’s Data Science department (L172) is looking for qualified applicants to bring their geospatial, machine learning, advanced analytics, and applied research…"
2024-06-23,System Engineer Ii (ai/ml),Arcfield,District of Columbia,Chantilly,Mid-level,,,,Full-time,"The program also supports innovations/technology development, provides acquisition and project management support to government program managers and IT…"
2024-06-23,Senior Engineer - Generative Ai Product Engineering,Capital One,District of Columbia,McLean,Senior,,,,Full-time,"Candidates hired to work in other locations will be subject to the pay range associated with that location, and the actual annualized salary amount offered to…"
2024-06-23,Senior Machine Learning Engineer,Geico,District of Columbia,Chevy Chase,Senior,,128500.0,year,,"Provides machine learning expertise within a team's functional area.
Ability to coach and guide other engineers in shaping ill-defined data needs into concrete…"
2024-06-23,Principal Deep Learning Engineer,Expedition Technology,District of Columbia,Herndon,Mid-level,,,,nan,"Proven proficiency in PyTorch, TensorFlow, or other modern machine learning framework.
Proven experience architecting, training, testing, and deploying machine…"
2024-06-23,Machine Learning Engineer,Saic,District of Columbia,Chantilly,Mid-level,,,,Full-time,"Create data science and data engineering products that include data models, data ingestion/transform, analytics which may include machine learning, and some…"
2024-06-23,Full Stack Software Engineer Ai/ml,Keylogic Systems,District of Columbia,Washington,Mid-level,,,,nan,"§ Works with data scientists, UX designers, cognitive scientists, developers, and testers to compose cohesive and sound software designs that form the basis of…"
2024-06-23,"Senior Ip Counsel, Artificial Intelligence (ai)/biology",Amgen,District of Columbia,Washington,Senior,,,,nan,"Five (5) or more years of experience practicing patent law in the area of artificial intelligence (AI), machine learning (ML), deep learning, data sciences,…"
2024-06-23,Ai/ml Enterprise Program Systems Engineer,Saic,District of Columbia,Chantilly,Mid-level,,,,Full-time,The engineer sought here serves a USG Program Office leading the establishment of the enterprise’s artificial intelligence and machine learning program.
2024-06-23,"Product Lead, Ai",Recruiting From Scratch,District of Columbia,Washington,Lead,,160000.0,year,,Facilitate rapid experimentation and data-driven decision-making to optimize the product and ensure market fit.
2024-06-23,Ai And Ml Engineer,Booz Allen,District of Columbia,McLean,Mid-level,,123800.0,year,,"2+ years of experience with data science, machine learning engineering, data analytics, or data research.
Experience with Spark, Databricks, or data engineering…"
2024-06-23,Nist Postdoctoral Associate Decision Science,George Washington University,District of Columbia,Foggy Bottom,Associate,,,,"Full-time
+1","Statistical analysis of collected survey data.
Assessment of research and data gaps.
Design and execution of data collection instruments."
2024-06-23,"Senior Product Manager, Machine Learning",Xometry Inc,District of Columbia,North Bethesda,Senior,,,,nan,"The successful candidate will be able to work with technical subject matter experts, understand quantitative analyses, and have deep product experience with…"
2024-06-23,Machine Learning/ Cloud Engineer,Syntelligent Analytic Solutions,District of Columbia,Washington,Mid-level,,,,nan,"8+ years of experience in computer science, data science, machine learning.
You will work closely and collaborate with a dynamic cross-functional team crafting…"
2024-06-23,Government And Public Sector - Ai And Data - Data Security Engineer - Senior Consultant,Ey,District of Columbia,McLean,Senior,,,,nan,"EY delivers unparalleled service in big data, business intelligence, and digital analytics built on a blend of custom-developed methods related to customer…"
2024-06-23,"Data Architect, Senior",Booz Allen,District of Columbia,Chantilly,Senior,,138800.0,year,,"As a data architect, you know that organizing big data can yield pivotal insights when it’s gathered from disparate sources.
Work with us to use data for good."
2024-06-23,Sme Ai/ml Engineer,Mantech,District of Columbia,Washington,Mid-level,,,,Full-time,"Constantly operates a computer and other office productivity machinery, such as a calculator, copy machine and computer printer.
Master's degree in STEM field."
2024-06-23,Senior Ai Security Engineer,The Mitre Corporation,District of Columbia,McLean,Senior,,,,Full-time,"We are looking for expertise in AI and machine learning (ML), particularly the development, training, and use of LLMs."
2024-06-23,Ai Strategist - Clearance Required,Logistics Management Institute,District of Columbia,Tysons,Mid-level,,,,Full-time,"Understanding of existing Army IT systems and analytics investments.
Make recommendations that impact short- and long-term technology project growth and success…"
2024-06-23,Associate Analyst Of Optimization & Mathematical Programming,Ita International,District of Columbia,Arlington,Associate,,,,Full-time,"Assess the pros and cons of different formulation designs, methodologies, solver capabilities, and the tools available, aiming for the optimal balance between…"
2024-06-23,Machine Learning Engineer,Armison Tech,District of Columbia,Chantilly,Mid-level,,,,nan,"Demonstrated experience applying deep learning and machine learning processing libraries, including PyTorch, Tensor Flow, Keras, and scikit."
2024-06-23,Senior Functional Data/bi Business Analyst (ts Required),Deloitte,District of Columbia,Rosslyn,Senior,,,,Full-time,"Our team supports all phases of analytic work product development, from the identification of key business questions through data collection and ETL, and from…"
2024-06-23,Principal Data Scientist - Nlp,Capital One,District of Columbia,McLean,Mid-level,,,,Full-time,"Partner with a cross-functional team of data scientists, software engineers, machine learning engineers and product managers to deliver AI powered products that…"
2024-06-23,"Principal Data Scientist, Consumer Identity Machine Learning",Capital One,District of Columbia,McLean,Mid-level,,,,Full-time,"Currently has, or is in the process of obtaining a Bachelor’s Degree plus 5 years of experience in data analytics, or currently has, or is in the process of…"
2024-06-23,Data Engineer (cloud Services) - Senior,Qinetiq,District of Columbia,Reston,Senior,,,,Full-time,Far Ridgeline Engagements LLC (a QinetiQ US Company) is seeking an experienced cloud data engineer/developer to help lead a growing team with a US Department of…
2024-06-23,Data Engineer (cloud Services) - Senior,Qinetiq Us,District of Columbia,Reston,Senior,,,,Full-time,Far Ridgeline Engagements LLC (a QinetiQ US Company) is seeking an experienced cloud data engineer/developer to help lead a growing team with a US Department of…
2024-06-23,Senior Data Engineer (cloud Expertise) - Active Ts/sci Security Clearance Required,Deloitte,District of Columbia,Rosslyn,Senior,,,,Full-time,"Our team supports all phases of analytic work product development, from the identification of key business questions through data collection and ETL, and from…"
2024-06-23,Artificial Intelligence (ai) Systems Administrator Iii,Mantech,District of Columbia,Washington,Mid-level,,,,Full-time,"For all positions requiring access to technology/software source code that is subject to export control laws, employment with the company is contingent on…"
2024-06-23,Senior Applied Machine Learning Scientist,Thomson Reuters,District of Columbia,McLean,Senior,,,,Full-time,"Do you have the skills necessary to manage, understand, and analyze inhouse and customer data including text mining, developing predictive systems, risk scoring…"
2024-06-23,Artificial Intelligence Test & Evaluation Sme,Mantech,District of Columbia,Washington,Mid-level,,,,Full-time,"Provide insight to program algorithm development: Design and develop machine learning algorithms, deep learning models, and statistical methods to solve complex…"
2024-06-23,Lead Statistician - Ts/sci W/poly,Jacobs Engineering Group Inc.,District of Columbia,Springfield,Lead,,,,nan,You will be directly supporting a collaborate team whose mission is to accelerate and modernize testing and evaluation operations through data and new…
2024-06-23,Senior Data Scientist,Mantech,District of Columbia,Sterling,Senior,,131900.0,year,,"Experience in developing machine learning models and applying advanced analytics solutions to solve complex business problems.
PhD/Doctorate and 3-7 years."
2024-06-23,Data Analyst/data Engineer,"Ensco, Inc.",District of Columbia,Fairfax,Mid-level,,,,Full-time,"Bachelor’s degree in engineering, mathematics, computer science, data analytics, or other scientific or technical discipline and 2 years of relevant experience."
